sentence,label
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,1
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",2
Sales by Seppala diminished by 6 per cent .,0
"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",1
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,2
The situation of coated magazine printing paper will continue to be weak .,0
"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .",1
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",2
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,1
"Pretax profit totalled EUR 80.8 mn , compared to a loss of EUR 13.1 mn in the corresponding period in 2009 .",2
`` We 've been feeling quite positive about the region as a whole .,2
"Sales are expected to increase in the end of the year 2006 , however .",2
The passenger tunnel is expected to be put into operation in 2009 .,1
The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,1
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,1
"Alma Media 's operating profit amounted to EUR 11.9 mn , down from EUR 15.0 mn a year earlier .",0
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,1
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,2
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,1
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",1
Reported operating margin was a negative 5.9 % .,0
"The Tekla Structures product box , if needed , is now made from recycled material .",1
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",1
The price will be specified at the completion date .,1
"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",1
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",1
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,1
The company says the measures are no longer needed .,1
Castecka said the town hall would hold talks with other investors interested in the zone .,1
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",1
The expanded plant is scheduled to be operational by the middle of October 2009 .,1
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,2
Sample Input:,1
Cargotec's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR.,1
Output:,1
1. Cargotec's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR.,1
2. Cargotec's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR.,1
