sentence,label
Sales by . diminished by 6 per cent Seppala,0
The reported operating margin was negative 5.9% .,0
At CapMan Haavisto will be responsible for group finance and accounting and IT.,1
"Our customer come from the keep_abreast countries : UK , USA , Spain , France , Italy , Germany , Republic_of_China , Sweden , Norway , Netherlands , Austria , Belgium , Schweiz , Czechoslovakian commonwealth , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",1
EUR 220 million of transaction consideration was paid in the form of four-year interest-bearing vendor notes .,1
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A ring conference for financial analysts and investors , conducted in English_people , will begin at 3:00 P.M. Finnish meter ( EET ) .",1
"Alma Media 's operating profit amounted to EUR 11.9 mn , down from EUR 15.0 mn a year earlier .",0
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,1
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,1
"Pretax profit totalled EUR 80.8 mn , compared to a loss of EUR 13.1 mn in the corresponding period in 2009 .",2
"Pretax profit totalled compare EUR 80.8 mn , compared to a loss of EUR 13.1 mn in the corresponding come period in 2009 .",2
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,1
"The new system , which will include 60 MC3090 PDA from Motorola , which will be used by 60 Poundstretcher operators on 3 teams , will integrate in real time with the existing warehouse management system of the company , Aldata G.O.L.D Stock , which came into operation in May 2008.",1
"The new system , which will include 60 System PDAs from Motorola , to be used by 60 in operatives integrate 3 shifts , will across went real-time with the company s existing Warehouse Management MC3090 , Aldata G.O.L.D Stock , which in live Poundstretcher May 2008 .",1
"The cosmetics ingathering includes an eye shadow , face powder , lip gloss , mascara and accessories .",1
The expanded plant is scheduled to be operational by the middle of October 2009 .,1
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Deutschland , mainland_China , Sweden , Kingdom_of_Norway , The_Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Hibernia , South Korea , Estonia and Principality_of_Liechtenstein .",1
"( ADP News ) - Sep , 2008 - Finnish security and privacy software developer Stonesoft Oyj today that it won a USD 1.9 ( EUR 1.3 m ) order to its StoneGate network security products to an unnamed Russian te",2
"Alma Media 's operating profit was EUR 11.9 million , down from EUR 15.0 million the previous year .",0
"( ADP News ) - Sep 30 , 2008 - Finnish security and Oyj software solutions developer Stonesoft privacy said EUR that it won a USD 1.9 StoneGate ( today 1.3 m ) order to deliver its million to security products network an unnamed Russian te",2
The company says that the measures are no longer necessary.,1
"The cosmetics collection includes an eye shadow cosmetic , face powder , lip gloss , mascara and accessories .",1
The acquisition will increase Kemira 's sales and market position in Russian metal industry coatings market .,2
The company pledged that the new software would render e-mails and other documents much as they appear on .,1
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a nowadays USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network protection security products to an unnamed Russian te",2
EUR 220 million of the transaction consideration was paid in the four-year of form interest-bearing vendor notes .,1
"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",1
"A . Le Coq . was developed for the bicentenary of the company and the trade Special , the brewer said mark",1
The berth of coated magazine printing paper will continue to be weak .,0
"The Tekla Structures product box, if necessary, is now made of recycled materials.",1
EUR 220 million of the dealings consideration was paid in the form of four-year interest-bearing vendor notes .,1
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications Tel. +358 10 516 0030 Distribution: NASDAQ OMX Helsinki Main Media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters customers.,1
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",1
"Sales are expected to increase in the yr end of the year 2006 , however .",2
The company says the measures are . longer needed no,1
The situation of coated magazine printing paper will continue to be weak .,0
Reported was margin operating a negative 5.9 % .,0
"Our customer come from the following countries : Great_Britain , USA , Spain , Jacques_Anatole_Francois_Thibault , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgique , Switzerland , Czech Republic , Srbija , Finland , Canada , Russia , Ukrayina , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",1
SAMPO PLC Jarmo Salonen Head of Investor dealings and Group Communications tel . +358 10 516 0030 Distribution : NASDAQ OMX Finnish_capital The principal media Financial Supervisory Authority www.sampo.com This announcement is broadcast by Joseph_John_Thomson Reuters on behalf of Sir_George_Paget_Thomson Reuters clients .,1
`` We entirely 've been feeling quite positive about the region as a whole .,2
"Alma Media 's profit amounted to EUR 11.9 mn , down from EUR 15.0 mn a year earlier .",0
SAMPO PLC Jarmo Salonen Head of Investor relative and Group Communications tel . +358 decade 516 0030 Distribution : NASDAQ OMX Helsinki The head_teacher media Financial Supervisory Authority www.sampo.com This announcement is distributed by Sir_George_Paget_Thomson Reuters on behalf of Sir_Joseph_John_Thomson Reuters clients .,1
Cargotec 's business areas also include the container manage solutions business area Kalmar and the marine cargo do_by and seaward load treat solutions business area MacGREGOR .,1
Reported operating margin was a negative 5.9 % .,0
. by Seppala diminished by 6 per cent Sales,0
The Oct expanded plant is scheduled to be operational by the middle of October 2009 .,1
The company is committed to the new software making e-mails and other documents as long as they appear on desktop computers.,1
maneuver profit rose from EUR 1.94 mn to EUR 2.45 mn .,2
At CapMan Haavisto will be responsible for mathematical_group Finances and Accounting and IT .,1
Pharmaceutical market in Belgium Global Research & Data Services recently published a market analysis on pharmaceutical markets in Belgium.,1
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",1
"The cosmetics collection includes eye shadows, face powder, lip glosses, mascara and accessories.",1
Operating profit increased from EUR 1.94 million to EUR 2.45 million.,2
"Simmons elected President of the DCUC PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , was elected President of the Defence Credit Union Council for the 2007-2008 term.",1
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel . +358 10 Distribution : NASDAQ OMX The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed Reuters on behalf of Thomson Reuters clients .,1
"Operating profit was EUR 11.4 Minnesota , up from EUR 7.5 Mn .",2
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,2
"The cosmetics collection includes an eye shadow face powder , lip gloss , mascara and accessories .",1
The passenger tunnel is expected to be put into operation in 2009 .,1
"Operating profit amounted to EUR 11.4 million , up from EUR 7.5 million .",2
"A . Le Coq particular was developed for the bicentenary of the company and the business_deal mark , the brewer said .",1
Last yr SysOpen Digia invested in IBM product know-how in the building of portal and trade place systems and successfully implemented customer solutions supported by it .,2
The expanded plant is scheduled to be operable by the middle of October 2009 .,1
The company pledged that the new software pledge would render e-mails and other documents much as they appear on novel desktop computers .,1
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,1
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium worldwide . issue,1
`` We 've been feeling quite about region as a whole .,2
The tunnel is expected to be put into in 2009 .,1
Sales by Seppala diminished by 6 per cent .,0
Seppala's sales decreased by 6%.,0
The company pledged as the new software would render that and other documents much e-mails they appear on desktop computers .,1
anticipate The passenger tunnel is expected to be put into operation in 2009 .,1
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 1000000000000 4 billion in total capital .",1
Cargotec's business lines also include container handling solutions Kalmar business line and marine cargo handling and offshore cargo handling solutions MacGREGOR business line.,1
"Please inform IR Johanna Koskinen 3:00 your participation no than EET 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at of p.m. . time ( later ) Finnish",1
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",1
The expanded plant is scheduled to be functional by the middle of October 2009 .,1
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,2
"Established in CapMan 4 1989 manages Nordic buyout , mezzanine , technology , life . and real estate funds with approximately EURO 3 billion $ , billion in total capital science",1
"Sales are expected to increase in the end of the year 2006 , however .",2
The acquisition will considerably increase Kemira 's sales Russian market position in the and metal industry coatings market .,2
"The cosmetics collection includes an middle shadow , face powder , lip gloss , mascara and accessories .",1
"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .",1
The company says the measures are no longer needed .,1
The government has instead proposed an exchange of the state 's LMT to TeliaSonera 's stake Lattelecom .,1
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,2
Cargotec 's business areas also include the container handling solutions business area Kalmar and the shipboard_soldier cargo handling and offshore burden handling solutions business area MacGREGOR .,1
Pharmaceutical market in Belgium Global Research & datum Services published recently a market analysis about the pharmaceutical market in Belgium .,1
"The Tekla Structures product box , if call_for , is now made from recycled material .",1
Pharmaceutical market in Belgium Global Research & a Services published recently Belgium market analysis about the pharmaceutical markets in Data .,1
"The Tekla Structures product box , if needed , is boxful now made from recycled material .",1
`` We 've been feeling quite positive about the region as a whole .,2
"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher sherlock across troika shifts , will integrate in real-time with the company s existing Warehouse direction System , Aldata G.O.L.D gillyflower , which went live in May 2008 .",1
The passenger tunnel is expected to be put into service in 2009.,1
"The Tekla Structures product box , if needed , is fabric now made from recycled material .",1
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,1
Castecka said the town hall would hold talks with investors interested in the .,1
"Our customers come from the following countries: United Kingdom , United States , Spain , France , Italy , Germany , China , Sweden , Netherlands , Norway , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",1
"( ADP News ) - Sep 30 , 2008 - Finnish security privacy software solutions developer Stonesoft Oyj said today it won a USD 1.9 million ( EUR 1.3 m ) to deliver its StoneGate network security products to an unnamed Russian",2
Last year SysOpen know-how invested in IBM and Digia in the building of portal product trading place systems and successfully implemented customer solutions supported by it .,2
"The new system , which will include 60 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse System , Aldata G.O.L.D Stock , went live in May 2008 .",1
sestet Sales by Seppala diminished by 6 per cent .,0
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal coatings market .,2
Castecka said the town hall would hold talks with other investors interested in the zone .,1
"Operating profit was EUR 11.4 manganese , up from EUR 7.5 North_Star_State .",2
The price toll will be specified at the completion date .,1
the town hall would hold talks with other investors interested in the zone .,1
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",1
The price will be specified at the completion date .,1
"Our client come from the following countries : UK , United_States_Army , Spain , France , Italy , Germany , Red_China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czechoslovak commonwealth , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , Dixieland Korea , Estonia and Liechtenstein .",1
"The Tekla Structures product box , if needed , is now made from recycled material .",1
"Pre-tax earnings amounted to EUR 80.8 million , compared with a loss of EUR 13.1 million in the corresponding period in 2009 .",2
"Alma Media earnings 's operating profit amounted manganese to EUR 11.9 mn , down from EUR 15.0 mn a year earlier .",0
"Pretax profit totalled period 80.8 mn , compared to a loss of EUR 13.1 mn in the corresponding EUR . 2009 in",2
`` We 've been feeling quite positive about the region as a whole .,2
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",2
Pharmaceutical market in Belgium Global Services & Data Research the recently a market analysis about published pharmaceutical markets in Belgium .,1
We felt very positive about the region as a whole.,2
"Pretax profit totalled EUR 80.8 mn , compared to a release of EUR 13.1 mn in the corresponding geological_period in 2009 .",2
The expanded plant is expected to be operational by mid-October 2009.,1
"A. The Special Rooster was developed for the company's bicentenary and brand, said the brewer.",1
"Simmons Elected DCUC chairwoman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service reference Union , has been elected chairman of the defence_force credit Union Council for the 2007-2008 term .",1
The passenger 2009 is expected to be put into operation in tunnel .,1
The price will be specified at the completion date .,1
Last year SysOpen Digia invested in IBM product know-how in the building of portal trading place systems and successfully implemented customer solutions supported by it .,2
The situation of coated magazine printing paper will continue to be weak.,0
At CapMan Haavisto will be responsible for Group and Accounting and IT .,1
Cargotec 's line_of_work areas also include the container handling solutions clientele area Kalmar and the marine cargo handling and offshore load handling solutions business_organization area Robert_MacGregor .,1
Sales by Seppala diminished by vi per cent .,0
5.9 operating margin was a negative Reported % .,0
"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",1
The government has instead proposed an exchange of the put_forward 's jeopardize in LMT to TeliaSonera 's gage in Lattelecom .,1
Operating profit rose from EUR 1.94 to EUR 2.45 mn .,2
Castecka said the town hall would hold talks with zone investors interested in the other .,1
The cost will be specified at the completion date .,1
"Please inform IR Johanna Koskinen of your participation late no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at ring 3:00 p.m. Finnish time ( EET ) .",1
"Simmons Elected DCUC Chairman Credit , been A. Simmons , CEO of Service Credit Union the has N.H.-Gordon elected chairman of , Defense PORTSMOUTH Union Council for the 2007-2008 term .",1
"Pretax profit tally EUR 80.8 mn , compared to a loss of EUR 13.1 mn in the check period in 2009 .",2
Cargotec 's solutions areas also include and container handling solutions business area Kalmar and the marine cargo handling the offshore load handling business business area MacGREGOR .,1
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",2
"Media 's operating profit amounted to EUR 11.9 , down from EUR 15.0 mn a year earlier .",0
"However , sales are expected to increase by the end of 2006 .",2
`` We 've been feeling quite positive about the whole as a region .,2
The measures says the company are no longer needed .,1
Castecka said the town hall would hold talks with investors interested in the zone,1
"sale are expected to increase in the end of the year 2006 , however .",2
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,1
The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,1
The situation printing coated magazine of paper will continue to be weak .,0
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel . +358 tenner 516 0030 Distribution : NASDAQ OMX Helsinki The principal media fiscal supervisory Authority www.sampo.com This announcement is shell_out by Thomson Reuters on behalf of Thomson Reuters clients .,1
"Created in 1989 , CapMan manages Nordic acquisition , mezzanine , technology , life sciences and real estate funds with about 3 billion euros 4 billion dollars in total capital .",1
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,2
At CapMan Haavisto will be responsible for Group Finances and . and IT Accounting,1
are company says the measures The no longer needed .,1
operating margin was negative 5.9 % .,0
the company says The measures are no longer needed .,1
Castecka said the town hall will hold talks with other investors interested in the area.,1
